Width: 253
Height: 212
Total colors: 1317
Index and RGB values are: 
0:0 0 0
1:33 36 33
2:123 117 123
3:132 125 132
4:156 150 156
5:24 24 24
6:132 130 132
7:222 223 222
8:214 207 214
9:239 231 239
10:222 219 222
11:107 101 107
12:239 239 239
13:189 186 189
14:148 146 148
15:255 247 255
16:206 207 206
17:16 20 16
18:247 247 247
19:82 89 82
20:16 48 16
21:82 97 90
22:16 85 24
23:132 166 140
24:198 195 198
25:140 138 140
26:214 215 214
27:115 109 115
28:8 12 8
29:222 215 222
30:90 97 90
31:8 40 8
32:99 97 99
33:8 77 16
34:115 150 123
35:0 117 181
36:181 195 206
37:206 203 206
38:247 243 247
39:214 211 214
40:231 223 231
41:123 121 123
42:24 125 173
43:181 207 222
44:231 227 231
45:255 251 255
46:132 182 214
47:24 142 198
48:0 130 198
49:0 36 57
50:0 93 148
51:140 178 206
52:132 178 206
53:173 190 206
54:239 235 239
55:156 195 222
56:189 207 222
57:0 40 66
58:0 65 99
59:0 24 41
60:66 69 66
61:115 113 115
62:156 154 156
63:49 52 49
64:173 166 173
65:33 28 33
66:107 105 107
67:165 158 165
68:107 113 107
69:132 158 132
70:206 199 206
71:107 109 107
72:123 130 123
73:148 170 148
74:99 101 99
75:82 85 82
76:41 69 49
77:189 195 189
78:16 48 24
79:0 36 8
80:0 36 0
81:33 56 33
82:198 190 198
83:90 93 90
84:24 56 33
85:231 231 231
86:8 40 16
87:0 32 0
88:0 117 173
89:214 203 214
90:24 73 99
91:99 162 198
92:214 219 231
93:148 199 222
94:222 239 247
95:140 186 214
96:24 138 198
97:0 134 206
98:0 93 140
99:148 182 206
100:148 186 206
101:148 142 148
102:0 81 123
103:0 48 74
104:57 56 57
105:181 182 181
106:165 162 165
107:99 117 99
108:173 186 173
109:247 239 247
110:33 32 33
111:140 142 140
112:115 125 123
113:156 178 156
114:222 231 222
115:132 154 132
116:181 178 181
117:74 73 74
118:0 16 0
119:49 105 57
120:123 125 123
121:24 52 24
122:82 113 82
123:24 28 24
124:8 44 16
125:90 125 90
126:8 8 8
127:99 134 99
128:0 73 8
129:90 130 99
130:99 130 99
131:123 174 206
132:198 199 206
133:49 97 123
134:0 69 107
135:82 146 181
136:189 195 206
137:148 199 231
138:198 215 231
139:132 182 206
140:74 138 173
141:148 186 214
142:82 113 140
143:0 105 156
144:66 65 66
145:115 117 115
146:165 166 165
147:90 89 90
148:66 60 66
149:123 138 123
150:189 207 189
151:165 170 165
152:156 182 156
153:181 190 181
154:0 56 0
155:90 85 90
156:0 12 0
157:49 109 57
158:198 207 198
159:115 138 115
160:140 134 140
161:0 8 0
162:0 28 8
163:16 16 16
164:99 93 99
165:181 174 181
166:0 4 0
167:0 32 8
168:107 138 107
169:115 142 115
170:0 69 8
171:0 40 8
172:107 138 115
173:99 134 107
174:8 44 8
175:24 85 123
176:181 186 189
177:148 195 222
178:189 199 206
179:132 186 214
180:16 81 115
181:132 190 222
182:156 199 222
183:206 219 231
184:132 174 206
185:90 154 189
186:189 203 214
187:165 186 198
188:74 158 198
189:0 24 33
190:99 117 107
191:66 77 66
192:132 150 132
193:189 199 189
194:107 142 107
195:165 174 165
196:33 60 33
197:24 36 33
198:148 174 148
199:82 93 90
200:24 56 24
201:189 182 189
202:74 85 82
203:16 12 16
204:189 190 189
205:49 146 198
206:0 77 115
207:132 186 222
208:107 170 206
209:198 211 222
210:33 97 132
211:74 85 99
212:33 69 90
213:181 190 206
214:140 182 206
215:41 146 198
216:198 199 198
217:99 121 99
218:74 93 74
219:173 170 173
220:41 44 41
221:66 81 66
222:173 190 181
223:107 125 107
224:41 36 41
225:90 81 90
226:57 60 57
227:74 69 74
228:82 81 82
229:0 24 0
230:24 20 24
231:0 28 0
232:148 190 214
233:74 158 206
234:16 32 41
235:0 44 74
236:0 69 99
237:0 121 181
238:115 170 206
239:0 60 90
240:66 134 173
241:107 166 198
242:41 146 206
243:74 134 165
244:156 190 206
245:41 105 140
246:132 158 173
247:140 178 198
248:0 89 140
249:0 28 41
250:74 77 74
251:49 48 49
252:41 40 41
253:156 166 156
254:206 211 206
255:123 146 123
256:115 146 123
257:57 158 214
258:156 186 206
259:16 121 173
260:0 73 115
261:90 162 206
262:33 101 140
263:57 150 198
264:57 81 90
265:33 77 107
266:82 101 115
267:115 154 173
268:0 60 99
269:74 130 165
270:115 170 198
271:173 178 173
272:0 20 0
273:198 203 198
274:66 97 74
275:0 48 8
276:16 77 24
277:156 158 156
278:0 44 8
279:165 207 231
280:33 146 206
281:66 154 198
282:140 195 222
283:24 97 132
284:115 174 206
285:173 190 198
286:33 142 198
287:0 134 198
288:82 138 173
289:33 89 123
290:82 158 206
291:41 109 148
292:66 125 165
293:0 97 148
294:0 73 107
295:99 121 107
296:0 16 8
297:24 81 33
298:66 85 74
299:74 85 74
300:0 65 8
301:16 40 16
302:140 166 140
303:8 73 16
304:8 36 8
305:140 170 140
306:49 154 214
307:66 154 206
308:57 125 165
309:165 186 206
310:74 154 198
311:0 85 132
312:0 20 33
313:132 134 132
314:123 154 123
315:57 89 66
316:57 52 57
317:115 130 115
318:33 97 41
319:115 134 115
320:16 24 16
321:66 105 74
322:49 77 57
323:99 109 99
324:41 97 49
325:222 227 222
326:82 121 90
327:24 48 24
328:99 130 107
329:41 65 41
330:74 81 74
331:24 85 33
332:181 186 181
333:16 81 24
334:8 36 16
335:16 44 24
336:82 77 82
337:165 190 206
338:16 138 198
339:0 52 74
340:0 16 24
341:66 130 173
342:165 190 198
343:0 32 49
344:156 186 198
345:123 174 198
346:33 142 206
347:82 130 90
348:49 65 49
349:24 36 24
350:82 125 82
351:0 52 8
352:49 44 49
353:156 174 165
354:49 101 49
355:165 178 165
356:0 56 8
357:24 32 24
358:173 190 173
359:231 235 231
360:123 154 132
361:16 52 16
362:74 117 74
363:24 89 33
364:156 186 165
365:123 150 132
366:8 48 8
367:82 121 82
368:24 142 206
369:0 12 24
370:0 40 57
371:140 190 222
372:0 20 24
373:156 190 214
374:57 77 57
375:49 105 49
376:173 182 173
377:16 60 16
378:24 81 24
379:115 121 115
380:66 113 74
381:41 81 49
382:0 60 8
383:24 60 24
384:239 243 247
385:90 134 90
386:16 77 16
387:107 117 107
388:0 40 0
389:107 162 198
390:123 178 214
391:0 101 148
392:148 182 198
393:90 170 214
394:123 170 198
395:107 174 206
396:33 40 33
397:33 52 33
398:90 125 99
399:66 109 74
400:74 117 82
401:181 186 198
402:99 166 198
403:198 203 206
404:90 162 198
405:123 134 140
406:189 207 214
407:107 134 148
408:41 93 115
409:0 109 173
410:74 89 74
411:0 24 8
412:24 65 24
413:107 142 115
414:0 60 0
415:16 56 16
416:115 142 123
417:0 65 0
418:123 150 123
419:0 44 66
420:74 73 82
421:123 162 189
422:173 211 239
423:24 101 140
424:57 77 90
425:16 52 74
426:0 12 16
427:0 101 156
428:107 170 198
429:189 211 231
430:41 60 66
431:66 109 66
432:8 56 16
433:8 16 8
434:24 97 140
435:165 203 231
436:140 182 214
437:49 150 206
438:198 207 222
439:49 150 198
440:206 215 214
441:107 130 107
442:74 125 82
443:123 130 132
444:82 130 82
445:66 146 189
446:8 134 198
447:181 190 198
448:132 178 198
449:231 227 239
450:107 146 165
451:57 138 181
452:82 93 107
453:189 211 222
454:0 85 123
455:82 109 123
456:0 52 82
457:0 109 165
458:57 65 57
459:148 166 156
460:24 40 33
461:99 125 99
462:8 65 90
463:115 158 189
464:107 158 189
465:173 211 231
466:132 142 148
467:33 130 181
468:165 170 181
469:99 113 99
470:82 73 82
471:140 158 140
472:8 28 8
473:57 134 173
474:16 65 99
475:24 105 140
476:0 56 82
477:57 150 206
478:24 138 206
479:99 154 189
480:66 101 74
481:132 158 140
482:107 174 214
483:8 60 82
484:115 162 189
485:16 97 140
486:16 65 90
487:0 113 165
488:173 199 214
489:90 146 181
490:41 130 181
491:82 105 123
492:132 146 132
493:132 146 140
494:66 89 66
495:173 174 173
496:16 28 16
497:57 89 57
498:0 20 8
499:8 4 8
500:0 44 0
501:0 44 57
502:99 170 214
503:8 56 82
504:0 8 8
505:0 113 173
506:16 36 49
507:132 146 165
508:99 121 140
509:0 89 132
510:0 28 49
511:66 73 66
512:189 190 198
513:82 154 189
514:82 93 99
515:16 52 66
516:107 150 173
517:24 105 148
518:66 162 214
519:41 56 41
520:57 101 57
521:16 32 16
522:16 134 206
523:33 138 198
524:148 150 165
525:33 65 82
526:49 121 165
527:123 190 222
528:156 174 156
529:156 170 156
530:156 162 165
531:49 85 49
532:16 20 24
533:123 138 148
534:49 142 189
535:66 158 206
536:16 134 198
537:16 105 156
538:41 65 82
539:82 166 214
540:33 85 33
541:57 73 57
542:148 150 148
543:24 146 206
544:57 73 82
545:115 117 123
546:82 150 189
547:49 146 206
548:99 166 206
549:132 142 156
550:16 44 57
551:107 117 123
552:33 60 82
553:123 186 222
554:82 170 222
555:0 105 165
556:74 105 74
557:66 101 66
558:115 150 115
559:33 109 148
560:82 158 198
561:41 150 206
562:0 56 90
563:0 8 16
564:198 219 239
565:57 130 165
566:41 117 156
567:74 97 74
568:90 97 99
569:107 121 107
570:0 12 8
571:41 81 41
572:181 195 181
573:181 190 189
574:198 223 247
575:82 162 206
576:41 121 156
577:41 93 49
578:33 73 33
579:148 166 148
580:49 93 49
581:140 162 140
582:49 97 57
583:33 113 156
584:123 154 173
585:198 207 214
586:148 170 189
587:41 142 198
588:107 166 206
589:99 121 132
590:173 186 181
591:74 121 82
592:8 24 8
593:16 36 16
594:140 142 148
595:24 56 74
596:206 211 214
597:173 195 206
