Width: 253
Height: 212
Total colors: 1033
Index and RGB values are: 
0:0 0 0
1:0 56 90
2:189 190 198
3:132 190 222
4:16 81 115
5:0 8 8
6:90 89 90
7:189 190 189
8:206 203 206
9:231 223 231
10:123 174 206
11:16 138 198
12:0 130 198
13:90 105 115
14:16 69 99
15:82 146 181
16:165 190 206
17:41 146 198
18:99 178 222
19:107 174 206
20:24 138 198
21:82 158 198
22:24 89 123
23:0 16 24
24:74 77 74
25:181 178 181
26:132 125 132
27:24 73 99
28:74 138 173
29:173 190 206
30:239 235 239
31:165 207 239
32:123 190 222
33:41 150 206
34:0 85 132
35:0 109 165
36:0 89 132
37:0 65 99
38:66 154 198
39:140 178 206
40:99 166 206
41:0 24 41
42:74 73 74
43:206 199 206
44:173 166 173
45:41 44 41
46:74 69 74
47:189 182 189
48:156 154 156
49:49 44 49
50:123 121 123
51:165 158 165
52:107 101 107
53:49 48 49
54:57 73 57
55:156 170 156
56:107 121 107
57:181 182 181
58:33 85 115
59:214 203 214
60:115 170 198
61:198 199 206
62:222 223 222
63:231 227 231
64:33 146 198
65:0 134 198
66:0 134 206
67:0 73 115
68:82 93 99
69:107 154 189
70:16 134 198
71:82 162 206
72:181 195 206
73:49 146 206
74:74 158 198
75:206 215 222
76:206 207 206
77:132 174 206
78:99 166 198
79:107 117 123
80:24 24 24
81:82 77 82
82:82 93 107
83:99 101 99
84:173 190 198
85:222 219 222
86:156 199 222
87:132 195 231
88:33 146 206
89:0 40 66
90:0 89 140
91:107 170 206
92:33 142 198
93:140 138 140
94:115 117 115
95:222 215 222
96:148 146 148
97:0 36 0
98:57 89 57
99:49 65 49
100:99 97 99
101:16 65 99
102:82 89 99
103:115 170 206
104:189 199 206
105:247 243 247
106:90 146 181
107:0 81 123
108:90 150 181
109:132 130 132
110:181 174 181
111:49 150 206
112:0 77 115
113:0 60 90
114:0 97 148
115:148 182 206
116:214 211 214
117:165 203 231
118:41 109 140
119:66 130 165
120:99 162 198
121:0 69 107
122:0 24 33
123:140 142 140
124:107 109 107
125:57 52 57
126:41 40 41
127:115 113 115
128:99 93 99
129:132 134 132
130:107 125 107
131:57 77 57
132:0 16 0
133:0 52 82
134:0 125 189
135:181 190 206
136:115 174 206
137:16 138 206
138:74 130 165
139:16 20 16
140:173 174 173
141:49 146 198
142:0 32 49
143:214 207 214
144:132 178 198
145:41 142 206
146:140 178 198
147:132 174 198
148:33 142 206
149:0 20 33
150:0 48 74
151:57 130 165
152:41 146 206
153:66 60 66
154:107 130 115
155:57 69 57
156:57 56 57
157:173 170 173
158:0 117 181
159:132 178 206
160:198 211 222
161:0 69 99
162:148 166 181
163:33 101 132
164:74 109 132
165:41 142 198
166:115 130 115
167:49 52 49
168:0 117 173
169:156 150 156
170:90 162 198
171:90 162 206
172:115 125 132
173:90 93 90
174:123 170 198
175:198 215 231
176:140 182 206
177:82 97 107
178:107 150 173
179:41 105 140
180:82 158 206
181:107 166 198
182:140 182 198
183:57 125 156
184:0 52 74
185:82 81 82
186:0 16 8
187:140 134 140
188:189 195 206
189:107 170 198
190:66 81 90
191:0 73 107
192:0 113 173
193:57 150 198
194:156 195 214
195:74 121 148
196:41 89 107
197:0 20 0
198:16 12 16
199:24 36 49
200:0 101 148
201:206 211 222
202:57 154 206
203:189 211 231
204:148 199 222
205:0 44 66
206:0 20 24
207:123 117 123
208:132 142 132
209:41 56 41
210:189 186 189
211:231 239 247
212:41 89 115
213:140 195 222
214:214 235 247
215:255 251 255
216:148 199 231
217:0 36 57
218:0 93 148
219:123 174 198
220:156 207 231
221:115 182 222
222:99 170 206
223:107 174 214
224:66 65 66
225:247 239 247
226:115 134 115
227:123 182 222
228:206 219 231
229:156 186 206
230:214 215 214
231:90 166 206
232:0 93 140
233:57 150 206
234:189 219 239
235:214 231 247
236:239 231 239
237:140 186 214
238:90 113 132
239:24 28 24
240:33 36 33
241:24 125 181
242:181 203 222
243:247 247 247
244:255 247 255
245:140 190 222
246:181 207 222
247:231 231 231
248:33 28 33
249:165 162 165
250:107 105 107
251:24 81 115
252:222 227 239
253:165 207 222
254:231 239 255
255:123 178 214
256:198 207 222
257:0 81 132
258:115 134 123
259:181 190 181
260:49 89 107
261:99 150 181
262:198 219 231
263:239 239 239
264:123 178 206
265:0 56 82
266:82 142 173
267:189 207 222
268:132 186 214
269:0 101 156
270:82 85 82
271:66 69 66
272:181 199 189
273:198 211 206
274:132 150 140
275:33 97 140
276:181 186 189
277:173 207 231
278:198 203 206
279:115 178 214
280:99 154 181
281:156 199 231
282:189 203 206
283:214 219 231
284:198 203 214
285:0 28 41
286:99 113 107
287:49 60 49
288:90 85 90
289:206 211 206
290:107 146 115
291:0 36 8
292:57 60 57
293:99 154 189
